Symbol,Return on Assets (5Y),Return on Capital,Return on Assets,Return on Capital (5Y),Asset Turnover
HSBC,0.38%,5.83%,0.70%,2.98%,0.02
PFE,9.08%,-2.65%,-1.20%,10.78%,0.25
NEE,3.06%,6.61%,3.80%,5.15%,0.14
T,1.34%,5.34%,2.20%,3.87%,0.31
RTX,1.90%,5.22%,2.90%,2.63%,0.49
HDB,1.92%,4.66%,1.80%,7.22%,0.05
BKNG,11.50%,40.40%,18.60%,20.62%,0.85
UBER,-15.18%,9.00%,10.50%,-16.56%,1.00
UL,8.86%,14.46%,8.40%,15.23%,0.76
AMAT,20.76%,27.44%,23.30%,29.39%,0.84
SPGI,14.44%,8.67%,5.90%,33.31%,0.23
LOW,14.26%,30.09%,15.90%,29.50%,1.93
ARM,,3.97%,5.70%,,0.47
BLK,3.56%,10.50%,4.90%,10.95%,0.15
TTE,4.20%,10.89%,6.70%,6.42%,0.73
BHP,13.90%,16.40%,7.80%,21.49%,0.55
PGR,5.44%,23.55%,7.50%,16.70%,0.74
UNP,9.78%,14.96%,9.80%,14.92%,0.36
SYK,6.66%,10.50%,8.80%,8.65%,0.54
HON,8.82%,13.40%,8.40%,15.01%,0.56
BX,6.88%,21.58%,5.50%,24.79%,0.28
SNY,5.94%,5.20%,3.30%,8.05%,0.37
ETN,6.66%,13.06%,9.70%,8.89%,0.63
SCHW,0.96%,4.83%,0.90%,7.89%,0.04
LMT,12.46%,27.38%,12.20%,35.47%,1.31
TJX,10.64%,22.60%,15.80%,16.37%,1.85
COP,9.36%,15.74%,10.40%,14.41%,0.60
ANET,19.92%,26.83%,23.90%,23.81%,0.61
MUFG,,1.19%,0.30%,0.60%,0.01
BSX,5.42%,6.45%,4.90%,11.61%,0.43
KKR,1.88%,2.32%,1.20%,2.80%,0.07
