Symbol,Price Target Upside (%),Analyst Rating,Rev Growth Next Year,EPS Growth Next Year,Revenue Growth Next 5Y,EPS Growth Next 5Y,Top Analyst Price Target Upside (%),Top Analyst Rating,EPS Growth This Quarter,EPS Growth This Year,EPS Growth Next Quarter,Price Target,Stock Price,Analyst Count,Top Analyst Count,Top Analyst Price Target,Rev Growth Next Quarter,Rev Growth This Year,Rev Growth This Quarter
HSBC,,Hold,-2.11%,-3.56%,,1.73%,,,,14.21%,-38.28%,,47.27,1,,,,,
PFE,21.15%,Buy,1.34%,2.42%,1.48%,50.93%,17.01%,Buy,,675.00%,71.05%,33.91,27.99,12,5,32.75,17.51%,7.50%,24.57%
NEE,6.09%,Buy,8.84%,7.85%,6.00%,5.93%,2.43%,Buy,-6.87%,-4.14%,-34.90%,83.44,78.65,16,9,80.56,11.64%,-2.79%,8.33%
T,6.03%,Buy,1.44%,1.16%,1.73%,5.41%,14.88%,Strong Buy,68.92%,14.74%,20.64%,23.38,22.05,16,6,25.33,3.50%,1.78%,2.24%
RTX,10.46%,Buy,6.02%,9.46%,5.82%,22.82%,10.10%,Buy,33.11%,152.26%,12.41%,131.43,118.98,15,9,131.00,6.05%,16.82%,3.97%
HDB,,Hold,14.43%,14.38%,,,,,0.93%,2.51%,23.67%,,64.24,1,,,,,
BKNG,-4.59%,Buy,8.03%,14.85%,8.67%,24.63%,-5.55%,Strong Buy,487.02%,53.04%,-3.47%,4689.52,4914.98,34,24,4642.17,9.17%,9.91%,9.68%
UBER,21.30%,Strong Buy,15.57%,111.17%,14.60%,,,,-28.40%,25.54%,,89.94,74.15,36,,,18.68%,18.71%,18.74%
UL,-2.69%,Buy,3.20%,6.74%,3.52%,7.18%,-2.69%,Strong Buy,395.60%,14.08%,,60.00,61.66,4,1,60.00,,2.95%,-50.53%
AMAT,22.05%,Buy,11.20%,13.63%,7.52%,12.30%,23.70%,Buy,11.57%,7.28%,-6.19%,227.59,186.48,22,18,230.67,5.50%,4.30%,5.95%
SPGI,18.69%,Buy,6.39%,9.83%,7.09%,21.90%,18.59%,Buy,84.97%,89.01%,33.67%,581.25,489.71,14,10,580.75,6.45%,14.49%,10.12%
LOW,0.53%,Buy,1.94%,7.34%,2.40%,6.68%,2.94%,Buy,-12.13%,-9.64%,-7.36%,270.60,269.18,25,11,277.09,-1.96%,-3.05%,-3.25%
ARM,-1.48%,Buy,24.44%,32.45%,19.54%,64.67%,1.19%,Buy,,444.72%,362.79%,138.57,140.65,25,18,142.33,18.36%,24.00%,1.29%
BLK,-1.88%,Strong Buy,16.09%,13.63%,6.22%,,,,26.48%,19.74%,0.92%,995.31,1014.35,13,,,8.61%,15.23%,22.59%
TTE,24.19%,Hold,-0.38%,-0.72%,-0.02%,-4.72%,16.70%,Hold,7.41%,-3.80%,-8.17%,78.75,63.41,4,1,74.00,-10.56%,-0.17%,4.53%
BHP,19.97%,Strong Buy,-1.55%,-0.43%,-0.48%,5.47%,,,534.88%,48.61%,-9.54%,68.00,56.68,3,,,-1.62%,-5.96%,-3.57%
PGR,1.86%,Buy,15.60%,4.57%,,13.41%,5.82%,Buy,-7.87%,101.09%,-15.35%,252.69,248.07,17,13,262.50,,,
UNP,10.81%,Buy,3.80%,10.62%,4.93%,10.56%,11.69%,Buy,5.35%,5.90%,12.02%,259.15,233.87,20,10,261.20,5.77%,1.49%,1.30%
SYK,6.91%,Buy,8.10%,12.22%,7.50%,15.04%,,,31.61%,47.49%,39.13%,395.42,369.86,19,,,8.58%,11.19%,9.61%
HON,7.16%,Buy,7.80%,8.30%,,,6.76%,Hold,45.76%,21.35%,,223.73,208.78,12,9,222.89,,6.60%,11.18%
BX,-9.04%,Buy,29.82%,33.03%,,33.34%,,,629.89%,145.48%,26.74%,154.28,169.62,20,,,0.49%,51.75%,201.98%
SNY,8.80%,Buy,6.67%,12.95%,5.17%,21.45%,,,,79.38%,111.51%,57.50,52.85,2,,,-1.84%,3.18%,5.05%
ETN,2.26%,Buy,7.55%,11.62%,8.81%,15.55%,2.58%,Strong Buy,19.67%,34.40%,32.19%,345.12,337.48,18,11,346.18,8.73%,9.39%,9.32%
SCHW,6.20%,Buy,11.04%,22.30%,9.09%,19.37%,3.77%,Buy,75.32%,25.34%,45.72%,75.73,71.31,15,11,74.00,15.46%,4.79%,16.03%
LMT,13.85%,Buy,3.86%,5.26%,3.07%,3.03%,12.35%,Buy,-11.06%,-2.24%,4.02%,622.45,546.75,11,8,614.25,1.69%,6.49%,0.38%
TJX,10.48%,Buy,5.81%,10.19%,5.61%,10.09%,,,9.42%,9.15%,7.35%,125.67,113.75,18,,,6.31%,4.73%,5.39%
COP,25.79%,Buy,10.26%,6.89%,-2.82%,2.39%,,,-10.67%,-14.98%,18.68%,137.38,109.21,17,,,16.28%,0.27%,3.17%
ANET,-9.48%,Buy,18.33%,14.53%,17.71%,19.42%,-8.23%,Buy,23.44%,28.49%,7.39%,366.72,405.12,20,16,371.79,16.27%,18.63%,17.72%
MUFG,,,5.58%,7.51%,,,,,22.73%,28.86%,21.00%,,10.81,,,,,,
BSX,9.57%,Strong Buy,12.33%,13.32%,9.87%,28.56%,8.96%,Strong Buy,94.68%,132.54%,90.00%,93.73,85.54,23,10,93.20,11.05%,17.61%,19.01%
KKR,4.96%,Strong Buy,38.34%,28.01%,,13.07%,3.21%,Buy,18.50%,16.66%,93.05%,145.88,138.99,16,11,143.45,-81.54%,-62.02%,-62.42%
